Order ID,Date,Price,Quantity,Product_burgers,Product_chicken sandwiches,Product_fries,Product_sides & other,Purchase Type_In-store ,Purchase Type_Online ,Payment Method_ Credit Card,Payment Method_ Gift Card,Manager_       Remy Monet,Manager_Joao    Silva,Manager_Joao Silva,Manager_Pablo    Perez,Manager_Pablo   Perez,Manager_Pablo  Perez,Manager_Pablo Perez,Manager_Remy     Monet,Manager_Remy    Monet,Manager_Remy Monet,Manager_Tom      Jackson,Manager_Tom Jackson,Manager_Walter Muller,City_Lisbon,City_London,City_Madrid,City_Paris
10452,07-11-2022,3.49,573.07,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
10453,07-11-2022,2.95,745.76,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10454,07-11-2022,4.99,200.4,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
10455,08-11-2022,12.99,569.67,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
10456,08-11-2022,9.95,201.01,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
10457,08-11-2022,3.49,573.07,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
10459,08-11-2022,4.99,200.4,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
10460,09-11-2022,12.99,554.27,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
10461,09-11-2022,9.95,201.01,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
10462,09-11-2022,3.49,573.07,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10463,09-11-2022,2.95,677.97,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10464,09-11-2022,4.99,200.4,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
