Order ID,Date,Product,Price,Quantity,Purchase Type,Payment Method,Manager,City,Revenue
10452,7/11/2022,Fries,3.49,573.07,Online , Gift Card,Tom      Jackson,London,2000.0143
10453,7/11/2022,Beverages,2.95,745.76,Online , Gift Card,       Pablo Perez,Madrid,2199.992
10454,7/11/2022,Sides & Other,4.99,200.4,In-store , Gift Card,Joao    Silva,Lisbon,999.996
10455,8/11/2022,Burgers,12.99,569.67,In-store , Credit Card,Walter Muller,Berlin,7400.0133
10456,8/11/2022,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Walter Muller,Berlin,2000.0495
10457,8/11/2022,Fries,3.49,573.07,In-store , Credit Card,Remy    Monet,Paris,2000.0143
10459,8/11/2022,Sides & Other,4.99,200.4,In-store , Credit Card,Walter Muller,Berlin,999.996
10460,9/11/2022,Burgers,12.99,554.27,In-store , Credit Card,Remy Monet,Paris,7199.9673
10461,9/11/2022,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Remy Monet,Paris,2000.0495
10462,9/11/2022,Fries,3.49,573.07,In-store , Credit Card,       Remy Monet,Paris,2000.0143
10463,9/11/2022,Beverages,2.95,677.97,In-store , Credit Card,       Remy Monet,Paris,2000.0115
10464,9/11/2022,Sides & Other,4.99,200.4,In-store , Credit Card,Remy     Monet,Paris,999.996
10465,10/11/2022,Burgers,12.99,554.27,In-store , Credit Card,Pablo Perez,Madrid,7199.9673
10466,10/11/2022,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Pablo Perez,Madrid,2000.0495
10467,10/11/2022,Fries,3.49,573.07,In-store , Credit Card,Pablo Perez,Madrid,2000.0143
10468,10/11/2022,Beverages,2.95,677.97,In-store , Credit Card,       Pablo Perez,Madrid,2000.0115
10470,11/11/2022,Burgers,12.99,554.27,In-store , Credit Card,       Pablo Perez,Madrid,7199.9673
10471,11/11/2022,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,       Pablo Perez,Madrid,2000.0495
10472,11/11/2022,Fries,3.49,630.37,In-store , Credit Card,Pablo   Perez,Madrid,2199.9913
10473,11/11/2022,Beverages,2.95,677.97,In-store , Credit Card,       Pablo Perez,Madrid,2000.0115
10474,11/11/2022,Sides & Other,4.99,200.4,In-store , Credit Card,       Pablo Perez,Madrid,999.996
10475,12/11/2022,Burgers,12.99,523.48,In-store , Credit Card,       Pablo Perez,Madrid,6800.0052
10476,12/11/2022,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Pablo Perez,Madrid,2000.0495
10477,12/11/2022,Fries,3.49,630.37,In-store , Credit Card,Pablo  Perez,Madrid,2199.9913
10478,12/11/2022,Beverages,2.95,677.97,In-store , Credit Card,Pablo Perez,Madrid,2000.0115
10479,12/11/2022,Sides & Other,4.99,200.4,In-store , Credit Card,Pablo    Perez,Madrid,999.996
10480,13-11-2022,Burgers,12.99,508.08,In-store , Credit Card,Pablo Perez,Madrid,6599.9592
10481,13-11-2022,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Pablo Perez,Madrid,2000.0495
10482,13-11-2022,Fries,25.5,630.37,In-store , Credit Card,Joao Silva,Lisbon,16074.435
10486,14-11-2022,Chicken Sandwiches,29.05,201.01,In-store , Credit Card,Joao    Silva,Lisbon,5839.3405
10487,14-11-2022,Fries,3.49,630.37,In-store , Credit Card,Joao Silva,Lisbon,2199.9913
10488,14-11-2022,Beverages,2.95,677.97,In-store , Credit Card,Joao Silva,Lisbon,2000.0115
10489,14-11-2022,Sides & Other,4.99,200.4,In-store , Credit Card,Pablo Perez,Madrid,999.996
10490,15-11-2022,Burgers,12.99,508.08,In-store , Credit Card,Pablo Perez,Madrid,6599.9592
10491,15-11-2022,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Pablo Perez,Madrid,2000.0495
10492,15-11-2022,Fries,3.49,573.07,In-store , Credit Card,Pablo Perez,Madrid,2000.0143
10493,15-11-2022,Beverages,2.95,677.97,In-store , Credit Card,Pablo Perez,Madrid,2000.0115
10494,15-11-2022,Sides & Other,4.99,200.4,In-store , Credit Card,Pablo Perez,Madrid,999.996
10495,16-11-2022,Burgers,12.99,508.08,In-store , Credit Card,Pablo Perez,Madrid,6599.9592
10496,16-11-2022,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Pablo Perez,Madrid,2000.0495
10497,16-11-2022,Fries,3.49,573.07,In-store , Credit Card,Pablo Perez,Madrid,2000.0143
10498,16-11-2022,Beverages,2.95,677.97,Drive-thru , Credit Card,Pablo Perez,Madrid,2000.0115
10499,16-11-2022,Sides & Other,4.99,200.4,Drive-thru , Credit Card,Pablo Perez,Madrid,999.996
10500,17-11-2022,Burgers,12.99,523.48,Drive-thru , Credit Card,Pablo Perez,Madrid,6800.0052
10501,17-11-2022,Chicken Sandwiches,9.95,201.01,Drive-thru , Credit Card,Pablo Perez,Madrid,2000.0495
10502,17-11-2022,Fries,3.49,630.37,Drive-thru , Credit Card,Pablo Perez,Madrid,2199.9913
10503,17-11-2022,Beverages,2.95,677.97,Drive-thru , Credit Card,Pablo Perez,Madrid,2000.0115
10504,17-11-2022,Sides & Other,4.99,200.4,Drive-thru , Credit Card,Pablo Perez,Madrid,999.996
10505,18-11-2022,Burgers,12.99,538.88,Drive-thru , Credit Card,Pablo Perez,Madrid,7000.0512
10506,18-11-2022,Chicken Sandwiches,9.95,201.01,Drive-thru , Credit Card,Pablo Perez,Madrid,2000.0495
10507,18-11-2022,Fries,3.49,687.68,Drive-thru , Credit Card,Pablo Perez,Madrid,2400.0032
10508,18-11-2022,Beverages,2.95,677.97,Drive-thru , Credit Card,Pablo Perez,Madrid,2000.0115
10509,18-11-2022,Sides & Other,4.99,200.4,Drive-thru , Credit Card,Pablo Perez,Madrid,999.996
10510,19-11-2022,Burgers,12.99,508.08,Drive-thru , Credit Card,Pablo Perez,Madrid,6599.9592
10511,19-11-2022,Chicken Sandwiches,9.95,201.01,Drive-thru , Credit Card,Joao Silva,Lisbon,2000.0495
10512,19-11-2022,Fries,3.49,687.68,Drive-thru , Credit Card,Joao Silva,Lisbon,2400.0032
